date,week,name,ipeds_id,total_tests,positive_tests,cumulative_cases,cumulative_tests,testing_fall2020,status,status_merge,total_tests_per_1000_enrollment,positive_tests_per_1000_enrollment,cumulative_cases_per_1000_enrollment,cumulative_tests_per_1000_enrollment,enrollment_fulltime,fips,city
2020-09-14,6,Amherst College,164465,341,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,183.82749326145554,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-15,6,Amherst College,164465,1096,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,590.8355795148248,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-16,6,Amherst College,164465,2,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,1.078167115902965,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-17,6,Amherst College,164465,1132,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,610.2425876010782,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-18,6,Amherst College,164465,272,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,146.63072776280322,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-19,7,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-20,7,Amherst College,164465,960,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,517.5202156334232,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-21,7,Amherst College,164465,325,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,175.2021563342318,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-22,7,Amherst College,164465,1128,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,608.0862533692723,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-23,7,Amherst College,164465,2,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,1.078167115902965,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-24,7,Amherst College,164465,1144,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,616.711590296496,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-25,7,Amherst College,164465,264,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,142.31805929919136,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-26,8,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-27,8,Amherst College,164465,962,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,518.5983827493261,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-28,8,Amherst College,164465,338,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,182.21024258760107,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-29,8,Amherst College,164465,1134,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,611.3207547169811,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-30,8,Amherst College,164465,3,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,1.6172506738544474,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-01,8,Amherst College,164465,1149,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,619.4070080862534,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-02,8,Amherst College,164465,250,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,134.77088948787062,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-03,9,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
