ipeds_id,cumulative_tests,cumulative_cases,week,enrollment,city,fips,status,status_merge,cumulative_cases_per_enrollment,cumulative_tests_per_enrollment,cumulative_cases_per_enrollment_per_week,cumulative_tests_per_enrollment_per_week
166911,4462.0,8.0,41,400,Beverly,25009,"Primarily online, some courses in person",Primarily Online,0.02,11.155,0.0004878048780487805,0.2720731707317073
166939,45500.0,49.0,41,2335,South Hadley,25015,"Fully online, at least some students allowed on campus",Primarily Online,0.020985010706638114,19.48608137044968,0.0005118295294301979,0.47527027732804095
167057,24187.0,24.0,41,782,Boston,25025,"Primarily online, some courses in person",Primarily Online,0.030690537084398978,30.929667519181585,0.000748549684985341,0.754382134614185
167260,54386.0,150.0,41,1592,Dudley,25027,"Primarily in person, some courses online",Primarily In Person,0.0942211055276382,34.16206030150754,0.002298075744576541,0.8332209829635985
167288,8895.0,42.0,41,1452,North Adams,25003,Hybrid or Hyflex teaching,Hybrid,0.028925619834710745,6.12603305785124,0.0007055029227978231,0.1494154404353961
167358,1040296.0,1926.0,41,21627,Boston,25025,Hybrid or Hyflex teaching,Hybrid,0.08905534748231378,48.10172469598187,0.002172081645910092,1.1732127974629725
167394,11759.0,30.0,41,1355,Chicopee,25013,"Primarily online, some courses in person",Primarily Online,0.02214022140221402,8.678228782287823,0.0005400054000540005,0.2116641166411664
167534,0.0,16.0,41,13000,Worcester,25027,"Primarily online, some courses in person",Primarily Online,0.0012307692307692308,0.0,3.0018761726078802e-05,0.0
167598,21764.0,72.0,41,2757,Weston,25017,"Primarily online, some courses in person",Primarily Online,0.026115342763873776,7.8940877765687345,0.0006369595796066775,0.19253872625777402
167729,28473.0,152.0,41,8338,Salem,25009,Hybrid or Hyflex teaching,Hybrid,0.018229791316862556,3.414847685296234,0.00044462905650884284,0.08328896793405449
167783,14054.0,22.0,41,6082,Boston,25025,"Fully online, at least some students allowed on campus",Primarily Online,0.0036172311739559354,2.310753041762578,8.82251505842911e-05,0.05635983028689214
167792,15445.0,8.0,41,385,Great Barrington,25003,"Primarily in person, some courses online",Primarily In Person,0.02077922077922078,40.116883116883116,0.0005068102629078239,0.9784605638264174
167835,95407.0,50.0,41,2903,Northampton,25015,"Fully online, no students on campus",Primarily Online,0.01722356183258698,32.864967275232516,0.0004200868739655361,0.801584567688598
167899,57035.0,339.0,41,3139,Springfield,25013,"Primarily in person, some courses online",Primarily In Person,0.1079961771264734,18.169799299139854,0.0026340531006456927,0.4431658365643867
167905,3350.0,67.0,41,8899,Springfield,25013,"Fully online, at least some students allowed on campus",Primarily Online,0.007528935835487133,0.3764467917743567,0.0001836325813533447,0.009181629067667237
167987,39773.0,303.0,41,8513,Dartmouth,25005,Hybrid or Hyflex teaching,Hybrid,0.03559262304710443,4.672031011394338,0.0008681127572464494,0.11395197588766678
167996,105744.0,271.0,41,2556,Easton,25005,"Some of a variety of methods, non-specific plan",Hybrid,0.10602503912363068,41.370892018779344,0.002585976563990992,1.0090461467994962
168005,89855.0,355.0,41,7186,Boston,25025,"Primarily online, some courses in person",Primarily Online,0.04940161424993042,12.50417478430281,0.0012049174207300103,0.3049798727878734
168148,572781.0,808.0,41,11586,Medford,25017,Hybrid or Hyflex teaching,Hybrid,0.0697393405834628,49.43733816675298,0.001700959526425922,1.205788735774463
168218,98498.0,51.0,41,2534,Wellesley,25021,"Primarily online, some courses in person",Primarily Online,0.020126282557221785,38.87056037884767,0.0004908849404200435,0.9480624482645773
168227,90003.0,276.0,41,4516,Boston,25025,Hybrid or Hyflex teaching,Hybrid,0.06111603188662533,19.929805137289637,0.0014906349240640323,0.4860928082265765
168254,27964.0,436.0,41,3780,Springfield,25013,"Primarily in person, some courses online",Primarily In Person,0.11534391534391535,7.397883597883598,0.0028132662279003744,0.1804361853142341
168263,34120.0,236.0,41,6100,Westfield,25013,"Primarily online, with delayed transition to in-person instruction",Primarily Online,0.038688524590163934,5.593442622950819,0.0009436225509796082,0.13642542982806877
168281,71812.0,101.0,41,1760,Norton,25005,Simultaneous teaching,Hybrid,0.05738636363636364,40.80227272727273,0.0013996674057649668,0.9951773835920178
168342,112738.0,61.0,41,2149,Williamstown,25003,"Primarily in person, some courses online",Primarily In Person,0.028385295486272687,52.46067938576082,0.0006923242801529924,1.2795287655063614
168421,253021.0,363.0,41,6874,Worcester,25027,Hybrid or Hyflex teaching,Hybrid,0.05280768111725342,36.8084084957812,0.0012879922223720346,0.8977660608727123
168430,46086.0,235.0,41,6217,Worcester,25027,"Primarily in person, some courses online",Primarily In Person,0.03779958179186103,7.412900112594499,0.0009219410193136836,0.18080244177059754
217606,2100.0,7.0,41,237,Haverhill,25009,,,0.029535864978902954,8.860759493670885,0.00072038695070495,0.216116085211485
441982,11510.0,8.0,41,390,Needham,25021,Professor's choice,Hybrid,0.020512820512820513,29.512820512820515,0.0005003126954346467,0.7198248905565979
